,Rock Climbing Gym Name,State,City,Sq Ft,Rope Climbing,Website,Day pass price,Monthly Membership,Gym Rating,Number of Ratings
105,Class 5 Fitness,California,Sonora,3500,Yes,http://www.24-7at5.com/climbing-wall/,NA,NA,4.7,
106,UCSD Outback Climbing Center,California,San Diego,NA,No,https://recreation.ucsd.edu/adventures/climbing-center/,NA,NA,4.5,
107,Alpine Climbing Adventure Fitness,California,Ripon,16500,Yes,https://climbatalpine.com/,25,89,4.9,
108,Vertical Hold,California,Poway,NA,Yes,https://www.verticalhold.com/,22,66,4.6,
109,Vertical Hold,California,San Marcos,NA,Yes,https://www.verticalhold.com/,22,66,4.6,
110,Mesa Rim Climbing Center North City,California,San Diego,NA,Yes,https://mesarim.com/northcity/,26,93,4.9,
111,The Pad Climbing,California,San Luis Obispo,NA,Yes,https://thepadclimbing.org/first-time/,23,85,4.5,
112,Agility Boulders,California,Capitola,NA,No,https://www.agilityboulders.com/,25,75,4.6,
113,Pure Climbing Gym,Colorado,Colorado Springs,NA,No,https://pureboulderinggym.com/,14,45,4.8,
114,CityRock,Colorado,Colorado Springs,NA,Yes,https://www.climbcityrock.com/about-us,20,72,4.7,
115,Springs Climbing Center,Colorado,Colorado Springs,NA,Yes,http://springsclimbingcenter.com/#springs-climbing-center,20,60,4.8,
116,Gripstone Climbing and Fitness,Colorado,Colorado Springs,NA,Yes,https://gripstonecs.com/,20,79,4.7,
117,The Spot Climbing Gym,Colorado,Louisville,NA,Yes,https://www.thespotgym.com/louisville,25,95,4.8,
118,The Spot Climbing Gym Boulder,Colorado,Boulder,NA,No,https://www.thespotgym.com/boulder,25,95,4.8,
119,Summit Climbing Gym,Colorado,Silverthorne,NA,Yes,https://www.summitclimbing.org/membership-info,20,70,4.7,
120,Movement Climbing and Fitness Denver,Colorado,Denver,NA,Yes,https://el-cap.com/movement-baker/,28,98,4,
121,G1 Climbing and Fitness,Colorado,Broomfield,25000,Yes,https://g1climbing.com/,25,79,4.8,
122,Denver Bouldering Club,Colorado,Denver,15000,No,https://denverboulderingclub.com/,19,64,4.8,
123,The Spot Bouldering Gym Denver,Colorado,Denver,NA,No,https://www.thespotgym.com/denver,25,95,4.8,
124,Ubergrippen Indoor Climbing Crag,Colorado,Denver,12000,Yes,https://ugclimbing.com/denver/,25,90,4.6,
125,Wooden Mountain Climbing Gym,Colorado,Loveland,NA,No,https://www.woodenmountain.com/,15,58,5,
126,Boulder Rock Club,Colorado,Boulder,10000,Yes,https://boulderrockclub.com/,22,76,4.8,
127,Earth Trex Englewood,Colorado,Englewood,NA,Yes,https://el-cap.com/earthtreks-englewood/?redirected=1,22,82,4.7,
128,Longmont Climbing Collective,Colorado,Longmont,15000,No,https://www.longmontclimbingcollective.com/,20,72,4.8,
129,Earth Trex Golden,Colorado,Golden,NA,Yes,https://el-cap.com/earthtreks-golden/,22,82,4.7,
130,Rock'n and Jam'n 2,Colorado,Centennial,NA,Yes,https://climbthebest.com/,18,84,4.7,
131,Denver Bouldering Club South,Colorado,Sheridan,15000,No,https://denverboulderingclub.com/,19,64,4.7,
132,Ascent Studio Climbing and Fitness,Colorado,Fort Colins,NA,Yes,https://ascentstudio.com/,18,75,4.6,
133,Rock'n and Jam'n 1,Colorado,Thronton,NA,Yes,https://climbthebest.com/,18,84,4.7,
134,ABC Kids Climbing,Colorado,Boulder,7200,No,https://www.abckidsboulder.com/the-gym/,NA,NA,4.8,
135,Epic Climbing Gym,Colorado,Estes Park,4500,Yes,https://www.estesparkmountainshop.com/indoor-climbing-gym,20,NA,4.3,
136,Movement Climbing and Fitness Rino,Colorado,Denver,40000,No,https://el-cap.com/movement-rino/,28,98,4.7,
137,Eagle Climbing and Fitness,Colorado,Eagle,NA,Yes,https://eagleclimbing.com/,20,85,4.9,
138,Grand Valley Climbing,Colorado,Grand Junction,NA,Yes,https://grandvalleyclimbing.com/,20,75,3.9,
139,Whetstone Climbing,Colorado,Fort Colins,20000,Yes,https://whetstoneclimbing.com/,20,79,4.9,
140,LCA Climbing Center,Colorado,Steamboat Springs,NA,No,http://loveclimbing.co/,20,60,4.3,
141,Monkey House Carbondale,Colorado,Carbondale,NA,No,https://www.monkeyhousecarbondale.com/,20,85,4.9,
142,Denver Boulder Club North,Colorado,Thronton,15000,No,https://denverboulderingclub.com/,19,64,4.9,
143,Central Rock Gym,Connecticut,Glastonbury,23000,Yes,https://centralrockgym.com/glastonbury/,25,89,4.8,
144,Stone Age Rock Gym,Connecticut,Manchester,NA,Yes,https://www.stoneagerockgym.com/,22,75,4.9,
145,Rock Climb Fairfield,Connecticut,Fairfield,NA,Yes,https://www.rockclimbfairfield.com/,25,NA,4.8,
146,City Climb Gym,Connecticut,New Haven,NA,Yes,http://www.cityclimbgym.com/,16,58,4.7,
147,Prime Climb,Connecticut,Wallingford,NA,Yes,https://www.primeclimb.com/,16,65,4.6,
148,Beta Climbing and Fitness,Connecticut,Stamford,20000,Yes,https://www.betarocks.com/,26,99,4.8,
149,Delaware Rock Gym,Delaware,Bear,NA,Yes,https://www.derockgym.com/,16,55,4.8,
150,Rock Out Climbing Gym,Florida,Destin,NA,No,https://www.rockoutclimbing.com/,20,80,4.8,
151,The Edge Rock Gym and Fitness,Florida,Melbourne,NA,Yes,https://ontheedgerockclimbing.com/,15,50,4.8,
152,The Edge Rock Gym,Florida,Jacksonville,NA,Yes,https://theedgerockgym.com/jacksonville/,19,76,4.7,
153,ProjectRock,Florida,Oakland Park,NA,Yes,https://projectrock.com/,19,63,4.7,
154,Beaches Rock Gym,Florida,Atlantic Beach,NA,No,https://www.beachesrockgym.com/,17,59,4.9,
155,The Edge Rock Gym,Florida,Miami,14000,Yes,https://theedgerockgymmiami.com/,19,76,4.6,
156,Aiguille Rock Climbing Center,Florida,Longwood ,NA,Yes,https://www.aiguille.com/,15,50,4.6,407
157,Coral Cliffs Rock Climbing Center,Florida,Fort Lauderdale,NA,Yes,http://www.coralcliffs.com/,19,62,4.1,102
158,UWF Climbing Center,Florida,Pensacola,NA,No,NA,NA,NA,5,3
159,The Knot,Florida,Gainesville,NA,Yes,https://climbtheknot.com/,NA,65,4.9,30
160,Vertical Ventures,Florida,St. Petersburg,NA,Yes,NA,NA,NA,4.7,585
161,DynoClimb,Florida,DeLand,NA,No,https://www.dynoclimb.com/,18,55,5,359
162,Stone Climbing,Florida,St. Augustine,NA,Yes,https://stoneclimbing.com/facility,NA,80,NA,NA
163,Alchemy Climbing,Florida,Tallahassee,NA,Yes,https://www.alchemyclimbing.com,18,70,4.7,21
164,Daytona Climbing Company,Florida,South Daytona,NA,Yes,https://www.daytonaclimbingcompany.com/,15,43,4.9,34
165,Adventure HQ,Florida,Palm Shores,33000,Yes,https://adventurehqfl.com/,18,68,4.8,248
166,Weatherford's Climbing Wall,Florida,Pensacola,NA,Yes,http://weatherfords.net/rockwalls.html,15,NA,3.9,75
167,Bouldering Wall,Florida,Paisley,NA,No,NA,NA,NA,4,5
168,Cornerstone Rock Gym,Florida,Glen St Mary,6000,Yes,https://cornerstonerockgym.com/,14,42,4.9,31
169,Blue Swan Boulders,Florida,Orlando,7000,No,https://blueswanboulders.com/,17,65,4.9,84
170,Adrenaline Climbing,Georgia,Suwanee,NA,Yes,https://www.adrenalineclimbing.com/,14,NA,4.4,175
171,Active Climbing - Athens,Georgia,Athens,NA,No,https://www.activeclimbing.com,16,NA,4.8,137
172,Active Climbing - Augusta,Georgia,Augusta,NA,No,https://www.activeclimbing.com,16,NA,NA,NA
173,Wall Crawler Rock Club,Georgia,Atlanta,8800,Yes,http://www.wallcrawlerclimbing.com/,NA,79,4.7,124
174,Stone Summit Climbing Atlanta,Georgia,Atlanta,NA,Yes,https://www.ssclimbing.com/stone-summit-atlanta/,25,60,4.6,377
175,Macon Rocks Climbing Gym,Georgia,Macon,NA,Yes,https://www.maconrocks.com/,17,65,4.6,21
176,Stone Summit Climbing,Georgia,Kennesaw,NA,Yes,https://www.ssclimbing.com/stone-summit-kennesaw/,25,60,4.8,560
177,Treadstone Columbus,Georgia,Columbus,NA,Yes,https://www.treadstoneclimbing.com/,20,70,4.7,152
178,Escalade Rock Climbing PTC,Georgia,Peachtree City,NA,Yes,https://ptc.escaladegym.com/,15,45,4.6,38
179,Escalade Rock Climbing Kennesaw,Georgia,Kennesaw,NA,Yes,https://www.escaladegym.com/home,15,45,4.8,119
180,Active Climbing,Georgia,Grovetown,NA,Yes,https://www.activeclimbingaugusta.com/,17,90,4.8,79
181,The Overlook Boulder + Fitness,Georgia,Atlanta,NA,No,https://overlookclimbing.com/,19,65,5,44
182,Stone Summit Midtown,Georgia,Atlanta,NA,No,https://www.ssclimbing.com/stone-summit-midtown/,25,60,4.8,161
183,The Rock  Fitness Rome,Georgia,Rome,NA,No,https://www.therockfitness247.com/rome,10,29,4.9,50
184,HiClimb Rock Climbing Gym,Hawaii,Honolulu,14000,Yes,https://www.hawaiiclimb.com/,38,99,4.9,41
185,Oahu Bouldering Gym,Hawaii,Honolulu,NA,No,https://www.oahubouldering.com/,19,71,4.7,15
186,Ascension Community Climbing Gym,Hawaii,Pepeekeo,NA,NA,NA,NA,NA,3,1
187,Big Island Climbing Indoor Adventure Center,Hawaii,Hilo,700,Yes,https://bigislandclimbing.com/,NA,NA,5,10
188,EPIC Climbing and Fitness,Indiana,Indianapolis,18000,Yes,https://climbepic.com/,18,70,4.8,164
189,Hoosier Heights Indianapolis,Indiana,Carmel,NA,Yes,https://www.hoosierheightsindianapolis.com/,18,64,4.6,316
190,Climb Time Indy,Indiana,Indianapolis,NA,Yes,https://climbtimeindy.com/,12,40,4.6,260
191,Climb Lafayette,Indiana,Lafayette,4000,Yes,https://www.climblafayette.com/,15,NA,4.9,162
192,The CRUX at Camptown,Indiana,Indianapolis,1500,No,https://indycrux.com/,NA,NA,4.6,5
193,Columbus Rock Gym,Indiana,Columbus,NA,Yes,https://www.columbusrockgym.com/,15,44,4.7,98
194,North Mass Boulder,Indiana,Indianapolis,NA,No,https://www.northmassboulder.com/,18,75,4.9,57
195,Hoosier Heights Bloomington,Indiana,Bloomington,NA,No,https://www.hoosierheightsbloomington.com/,18,64,4.7,263
196,Vertical eXcape,Indiana,Evansville,NA,Yes,http://www.verticalexcape.com/evansville/,25,47.5,4.8,128
197,Climb Iowa - East Village,Iowa,Des Moines,3000,No,https://climbiowa.com/east-village/,18,60,4.9,43
198,Climb Iowa - Grimes,Iowa,Grimes,10000,Yes,https://climbiowa.com/grimes/,18,60,4.7,119
199,Kansas Cliff Club,Kansas,Wichita,NA,Yes,https://www.kansascliffclub.org/,12,NA,4.3,33
200,RoKC Olathe Climbing,Kansas,Olathe,NA,Yes,https://www.climbkc.com/olathe,18,85,4.9,99
201,Apex Climbing Gym,Kansas,Overland Park,NA,No,https://apexclimbinggym.com/climbing.html,12,50,4.7,124
202,Bliss Climbing and Fitness,Kansas,Wichita,NA,No,https://climbbliss.com/,17,90,4.8,185
203,Monster Mountain,Kansas,Overland Park,5000,Yes,https://emeraldcitygym.com/monster-mountain-wall/,13,60,4.8,17
